Source.Name,Month,Date,Banks_live,Volume_mn,Value_cr
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-04-2016,01-04-2016,21,0,0
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-05-2016,01-05-2016,21,0,0
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-06-2016,01-06-2016,21,0,0
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-07-2016,01-07-2016,21,0.09,0.38
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-08-2016,01-08-2016,21,0.09,3.09
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-09-2016,01-09-2016,25,0.09,32.64
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-10-2016,01-10-2016,26,0.1,48.57
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-11-2016,01-11-2016,30,0.29,100.46
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-12-2016,01-12-2016,35,1.99,707.93
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-01-2017,01-01-2017,36,4.46,1696.22
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-02-2017,01-02-2017,44,4.38,1937.71
Product-Statistics-UPI-Product-statistics-upi-2016-17-Monthly.csv,01-03-2017,01-03-2017,44,6.37,2425.14
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-04-2017,01-04-2017,48,7.2,2271.24
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-05-2017,01-05-2017,49,9.36,2797.07
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-06-2017,01-06-2017,52,10.35,3098.36
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-07-2017,01-07-2017,53,11.63,3411.35
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-08-2017,01-08-2017,55,16.8,4156.62
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-09-2017,01-09-2017,57,30.98,5325.81
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-10-2017,01-10-2017,60,76.96,7057.78
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-11-2017,01-11-2017,61,105.02,9669.33
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-12-2017,01-12-2017,67,145.64,13174.24
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-01-2018,01-01-2018,71,151.83,15571.2
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-02-2018,01-02-2018,86,171.4,19126.2
Product-Statistics-UPI-Product-statistics-upi-2017-18-Monthly.csv,01-03-2018,01-03-2018,91,178.05,24172.6
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-04-2018,01-04-2018,97,190.08,27021.85
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-05-2018,01-05-2018,101,189.48,33288.51
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-06-2018,01-06-2018,110,246.37,40834.03
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-07-2018,01-07-2018,114,273.75,51843.14
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-08-2018,01-08-2018,114,312.02,54212.26
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-09-2018,01-09-2018,122,405.87,59835.36
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-10-2018,01-10-2018,128,482.36,74978.27
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-11-2018,01-11-2018,128,524.94,82232.21
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-12-2018,01-12-2018,129,620.17,102594.82
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-01-2019,01-01-2019,134,672.75,109932.43
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-02-2019,01-02-2019,139,674.19,106737.12
Product-Statistics-UPI-Product-statistics-upi-2018-19-Monthly.csv,01-03-2019,01-03-2019,142,799.54,133460.72
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-04-2019,01-04-2019,144,781.79,142034.39
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-05-2019,01-05-2019,143,733.54,152449.29
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-06-2019,01-06-2019,142,754.54,146566.35
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-07-2019,01-07-2019,143,822.29,146386.64
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-08-2019,01-08-2019,141,918.35,154504.89
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-09-2019,01-09-2019,141,955.02,161456.56
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-10-2019,01-10-2019,141,1148.36,191359.94
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-11-2019,01-11-2019,143,1218.77,189229.09
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-12-2019,01-12-2019,143,1308.4,202520.76
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-01-2020,01-01-2020,144,1305.02,216242.97
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-02-2020,01-02-2020,146,1325.69,222516.95
Product-Statistics-UPI-Product-statistics-upi-2019-20-Monthly.csv,01-03-2020,01-03-2020,148,1246.84,206462.31
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-04-2020,01-04-2020,153,999.57,151140.66
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-05-2020,01-05-2020,155,1234.5,218391.6
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-06-2020,01-06-2020,155,1336.93,261835
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-07-2020,01-07-2020,164,1497.36,290537.86
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-08-2020,01-08-2020,168,1618.83,298307.61
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-09-2020,01-09-2020,174,1800.14,329027.66
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-10-2020,01-10-2020,189,2071.62,386106.74
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-11-2020,01-11-2020,200,2210.23,390999.15
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-12-2020,01-12-2020,207,2234.16,416176.21
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-01-2021,01-01-2021,207,2302.73,431181.89
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-02-2021,01-02-2021,213,2292.9,425062.76
Product-Statistics-UPI-Product-statistics-upi-2020-21-Monthly.csv,01-03-2021,01-03-2021,216,2731.68,504886.44
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-04-2021,01-04-2021,220,2641.06,493663.68
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-05-2021,01-05-2021,224,2539.57,490638.65
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-06-2021,01-06-2021,229,2807.51,547373.17
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-07-2021,01-07-2021,235,3247.82,606281.14
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-08-2021,01-08-2021,249,3555.55,639116.95
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-09-2021,01-09-2021,259,3654.3,654351.81
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-10-2021,01-10-2021,261,4218.65,771444.98
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-11-2021,01-11-2021,274,4186.48,768436.11
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-12-2021,01-12-2021,282,4566.3,826848.22
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-01-2022,01-01-2022,297,4617.15,831993.11
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-02-2022,01-02-2022,304,4527.49,826843
Product-Statistics-UPI-Product-statistics-upi-2021-22-Monthly.csv,01-03-2022,01-03-2022,314,5405.65,960581.66
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-04-2022,01-04-2022,316,5583.05,983302.27
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-05-2022,01-05-2022,323,5955.2,1041520.07
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-06-2022,01-06-2022,330,5862.75,1014384.31
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-07-2022,01-07-2022,338,6288.4,1062991.76
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-08-2022,01-08-2022,346,6579.63,1072792.68
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-09-2022,01-09-2022,358,6780.8,1116438.1
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-10-2022,01-10-2022,365,7305.42,1211582.51
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-11-2022,01-11-2022,376,7309.45,1190593.39
Product-Statistics-UPI-Product-statistics-upi-2022-23-Monthly.csv,01-12-2022,01-12-2022,382,7829.49,1282055.01
